id;tracking_code;date;details;invoice_id
1;Mouse Villages;2022-02-14T15:25:22;unleash integrate;1
2;Gloves Account Belarussian;2022-02-15T01:25:43;Orchestrator Stravenue;2
3;Gorgeous Checking;2022-02-14T06:44:15;SSL zero;3
4;user-facing turquoise;2022-02-14T20:34:23;Iran Garden auxiliary;4
5;experiences multi-tasking Tasty;2022-02-14T08:02:16;Viaduct Bedfordshire;5
6;Shoes Avon;2022-02-15T03:23:49;Lilangeni;6
7;Music Handmade;2022-02-14T13:01:27;Estate red;7
8;Officer mobile Specialist;2022-02-14T22:51:30;system;8
9;bypass;2022-02-15T04:23:48;Streamlined;9
10;invoice Quality-focused hack;2022-02-14T08:44:37;wireless Borders;10
